Karta_raqami,Karta_turi,Valyuta,Valyuta_kodi,Korxona,Davlat
5602243304181362,china-unionpay,Yuan Renminbi,CNY,Biotechnology: In Vitro & In Vivo Diagnostic Substances,China
3560435216325294,jcb,Peso,CUP,Investment Managers,Cuba
3542738453933008,jcb,Yuan Renminbi,CNY,Major Banks,China
3563618396447536,jcb,Peso,COP,n/a,Colombia
201968836065214,diners-club-enroute,Euro,EUR,n/a,Portugal
201722801024734,diners-club-enroute,Ruble,RUB,n/a,Russia
502061795651727303,maestro,Ruble,RUB,Major Banks,Russia
3530272871996151,jcb,Shilling,SOS,n/a,Somalia
3529337765384120,jcb,Euro,EUR,Other Consumer Services,France
3537034281242508,jcb,Real,BRL,Coal Mining,Brazil
201573885871783,diners-club-enroute,Yuan Renminbi,CNY,n/a,China
4905367496436268588,switch,Baht,THB,Major Pharmaceuticals,Thailand
67636312085564557,maestro,Real,BRL,Trucking Freight/Courier Services,Brazil
3530565827886735,jcb,Yuan Renminbi,CNY,n/a,China
4026245110593608,visa-electron,Yuan Renminbi,CNY,Military/Government/Technical,China
3583153453684546,jcb,Rupiah,IDR,n/a,Indonesia
4911068909305077,switch,Euro,EUR,Major Banks,Italy
3570365328082988,jcb,Dollar,USD,Other Consumer Services,United States
3548733086760187,jcb,Euro,EUR,Agricultural Chemicals,France
564182013915859746,switch,Real,BRL,n/a,Brazil
3557974427758971,jcb,Euro,EUR,Natural Gas Distribution,Spain
3536608936117388,jcb,Somoni,TJS,Major Pharmaceuticals,Tajikistan
3561262871191798,jcb,Dinar,RSD,Property-Casualty Insurers,Serbia
6304295506730649548,laser,Dollar,USD,Computer peripheral equipment,United States
5602258200398472,bankcard,Peso,COP,Shoe Manufacturing,Colombia
4911233730981448306,switch,Lek,ALL,Precious Metals,Albania
3559503397281116,jcb,Yuan Renminbi,CNY,Advertising,China
3568673073524227,jcb,Yuan Renminbi,CNY,Auto Parts:O.E.M.,China
201543408793442,diners-club-enroute,Naira,NGN,Telecommunications Equipment,Nigeria
3547292322019354,jcb,Naira,NGN,Major Banks,Nigeria
3554034657866201,jcb,Ruble,RUB,Electronic Components,Russia
3567319520136568,jcb,Rupiah,IDR,Oil & Gas Production,Indonesia
374622402743792,americanexpress,Tugrik,MNT,Marine Transportation,Mongolia
6304038267152806007,laser,Ruble,RUB,Other Consumer Services,Russia
3531866313181600,jcb,Krone,NOK,Medical/Dental Instruments,Norway
0604838926830947,maestro,Dollar,ZWL,Biotechnology: Biological Products (No Diagnostic Substances),Zimbabwe
3530937795020201,jcb,Yuan Renminbi,CNY,n/a,China
3561164772375647,jcb,Boliviano,BOB,Auto Parts:O.E.M.,Bolivia
50209395562200970,maestro,Krona,SEK,Business Services,Sweden
5100137202422638,mastercard,Peso,PHP,Industrial Machinery/Components,Philippines
3545799720080657,jcb,Rupiah,IDR,n/a,Indonesia
5602258574157678,bankcard,Yuan Renminbi,CNY,Major Banks,China
3574358362707764,jcb,Ruble,RUB,Medical Specialities,Russia
3581604064967094,jcb,Euro,EUR,Real Estate Investment Trusts,Portugal
4917514902107709,visa-electron,Ruble,RUB,Containers/Packaging,Russia
560224688261216688,china-unionpay,Hryvnia,UAH,Food Distributors,Ukraine
6759812021166442854,maestro,Peso,PHP,Hotels/Resorts,Philippines
63043063357860639,laser,Hryvnia,UAH,Telecommunications Equipment,Ukraine
36893087350001,diners-club-international,Som,UZS,Clothing/Shoe/Accessory Stores,Uzbekistan
201872914288393,diners-club-enroute,Peso,PHP,Specialty Chemicals,Philippines
3584237485360834,jcb,Yuan Renminbi,CNY,Semiconductors,China
4917856402140668,visa-electron,Yuan Renminbi,CNY,Home Furnishings,China
4345129297854948,visa,Shilling,TZS,Fluid Controls,Tanzania
3544928178743281,jcb,Euro,EUR,n/a,Portugal
3574264755693795,jcb,Yuan Renminbi,CNY,Industrial Machinery/Components,China
5413791893135511,diners-club-us-ca,Ruble,RUB,Agricultural Chemicals,Russia
6331106902069279,switch,Baht,THB,n/a,Thailand
30261665523256,diners-club-carte-blanche,Euro,EUR,Military/Government/Technical,France
5018243944339857,maestro,Peso,CUP,n/a,Cuba
3535192171611778,jcb,Rupiah,IDR,Life Insurance,Indonesia
201738671189092,diners-club-enroute,Dram,AMD,Major Pharmaceuticals,Armenia
6372677891795454,instapayment,Yuan Renminbi,CNY,Natural Gas Distribution,China
30401401617661,diners-club-carte-blanche,Baht,THB,Other Consumer Services,Thailand
5038173970242111,maestro,Euro,EUR,Computer Software: Prepackaged Software,France
3549259147997104,jcb,Yuan Renminbi,CNY,Medical/Dental Instruments,China
5150290675677631,mastercard,Yuan Renminbi,CNY,Semiconductors,China
3581102607912891,jcb,Peso,PHP,Other Consumer Services,Philippines
201997577418092,diners-club-enroute,Yuan Renminbi,CNY,Major Banks,China
3560908221190424,jcb,Yuan Renminbi,CNY,Medical Specialities,China
5539216122176846,mastercard,Yuan Renminbi,CNY,Oil & Gas Production,China
5555322320396985,diners-club-us-ca,Euro,EUR,n/a,Slovenia
4041590153015683,visa,Dollar,CAD,Telecommunications Equipment,Canada
676294328956045915,maestro,Yuan Renminbi,CNY,Major Banks,China
3579220619020091,jcb,Escudo,CVE,n/a,Cape Verde
3528627594538412,jcb,Dong,VND,Major Pharmaceuticals,Vietnam
5602251013398292,bankcard,Yen,JPY,Major Banks,Japan
633348405581096559,switch,Yuan Renminbi,CNY,n/a,China
30350903401811,diners-club-carte-blanche,Peso,CLP,Real Estate Investment Trusts,Chile
5602255226929499177,china-unionpay,Euro,EUR,Precious Metals,France
3577707364192523,jcb,Yuan Renminbi,CNY,Specialty Chemicals,China
201993744588271,diners-club-enroute,Rupiah,IDR,Computer Software: Prepackaged Software,Indonesia
3531572406535435,jcb,Yuan Renminbi,CNY,n/a,China
30460171332299,diners-club-carte-blanche,Rial,IRR,n/a,Iran
3564844981053666,jcb,Ruble,RUB,Medical/Dental Instruments,Russia
4017957537509,visa,Rupiah,IDR,Advertising,Indonesia
675921274219848765,maestro,Yuan Renminbi,CNY,Department/Specialty Retail Stores,China
6396336941145895,instapayment,Peso,PHP,Auto Parts:O.E.M.,Philippines
58939775744284564,maestro,Euro,EUR,n/a,France
3570922985743334,jcb,Denar,MKD,Apparel,Macedonia
374288173412007,americanexpress,Real,BRL,Savings Institutions,Brazil
374288059666171,americanexpress,Peso,ARS,Agricultural Chemicals,Argentina
201939142128632,diners-club-enroute,Taka,BDT,n/a,Bangladesh
3554996676974390,jcb,Peso,PHP,Electric Utilities: Central,Philippines
201748384178225,diners-club-enroute,Yuan Renminbi,CNY,n/a,China
6380359273881943,instapayment,Yuan Renminbi,CNY,Department/Specialty Retail Stores,China
3573290265029114,jcb,Dollar,CAD,Major Banks,Canada
56022324709077150,china-unionpay,Rupiah,IDR,Major Banks,Indonesia
3583489250972647,jcb,Peso,PHP,Industrial Machinery/Components,Philippines
4405198724420851,visa-electron,Real,BRL,n/a,Brazil
4913921827786240,visa-electron,Euro,EUR,Investment Managers,France
4041374700563788,visa,Yuan Renminbi,CNY,Oil & Gas Production,China
3588600290240887,jcb,Hryvnia,UAH,Real Estate,Ukraine
3579953441358889,jcb,Rial,YER,EDP Services,Yemen
3572259934168125,jcb,Dollar,USD,n/a,United States
4917557786150733,visa-electron,Hryvnia,UAH,Packaged Foods,Ukraine
374288389701482,americanexpress,Yuan Renminbi,CNY,n/a,China
201401022829268,diners-club-enroute,Yuan Renminbi,CNY,Real Estate Investment Trusts,China
3572956825822914,jcb,Yuan Renminbi,CNY,n/a,China
3529419512399054,jcb,Yuan Renminbi,CNY,Medical Specialities,China
676164680325816260,maestro,Euro,EUR,n/a,France
5100137681147383,mastercard,Yuan Renminbi,CNY,Major Pharmaceuticals,China
3572700138720211,jcb,Yuan Renminbi,CNY,Medical/Dental Instruments,China
3535366988029321,jcb,Krona,SEK,Telecommunications Equipment,Sweden
30400945606164,diners-club-carte-blanche,Dollar,NZD,n/a,New Zealand
3566545805773490,jcb,Bolivar,VEF,Computer Software: Prepackaged Software,Venezuela
374288550467467,americanexpress,Yuan Renminbi,CNY,Electric Utilities: Central,China
3558559534784181,jcb,Peso,PHP,Industrial Machinery/Components,Philippines
502069152598518506,maestro,Yuan Renminbi,CNY,n/a,China
3533155102188135,jcb,Franc,XAF,Other Specialty Stores,Cameroon
560222376404082330,china-unionpay,Guarani,PYG,n/a,Paraguay
5007669544563319,mastercard,Euro,EUR,Major Chemicals,France
349776146696591,americanexpress,Dollar,JMD,Apparel,Jamaica
5048372757070616,mastercard,Yuan Renminbi,CNY,Fluid Controls,China
30573230364978,diners-club-carte-blanche,Ruble,RUB,Hotels/Resorts,Russia
4913011635913788,visa-electron,Yuan Renminbi,CNY,Paints/Coatings,China
5108756348035400,mastercard,Euro,EUR,Farming/Seeds/Milling,France
3581862466269077,jcb,Koruna,CZK,Investment Managers,Czech Republic
3568456840497384,jcb,Zloty,PLN,n/a,Poland
3529797597316105,jcb,Euro,EUR,Forest Products,Portugal
3555218232835844,jcb,Birr,ETB,n/a,Ethiopia
201845639907588,diners-club-enroute,Euro,EUR,Semiconductors,France
3563776110873427,jcb,Ruble,RUB,Power Generation,Russia
374883420369750,americanexpress,Euro,EUR,Business Services,France
5602255167149864,bankcard,Dollar,CAD,n/a,Canada
3553951319999081,jcb,Ringgit,MYR,Major Chemicals,Malaysia
5495032101190894,diners-club-us-ca,Gourde,HTG,Major Chemicals,Haiti
6771956230877984,laser,Shekel,ILS,Electrical Products,Israel
6709432128224529682,laser,Real,BRL,Major Banks,Brazil
5007660766235314,mastercard,Peso,COP,Industrial Machinery/Components,Colombia
6393054015903387,instapayment,Yen,JPY,Major Pharmaceuticals,Japan
3562047064783926,jcb,Real,BRL,Finance: Consumer Services,Brazil
3567095471365386,jcb,Dollar,CAD,Oil Refining/Marketing,Canada
3540307842594947,jcb,Yuan Renminbi,CNY,Precious Metals,China
5493857373293592,diners-club-us-ca,Krona,SEK,Miscellaneous manufacturing industries,Sweden
06049722328085062,maestro,Naira,NGN,Military/Government/Technical,Nigeria
4041594149635,visa,Rupiah,IDR,n/a,Indonesia
4905176737204731,switch,Dram,AMD,n/a,Armenia
4903456216661276,switch,Ruble,BYR,Clothing/Shoe/Accessory Stores,Belarus
4913108444539943,visa-electron,Naira,NGN,Real Estate,Nigeria
50184328133629400,maestro,Yen,JPY,n/a,Japan
3574988245119561,jcb,Dollar,ZWL,Computer Software: Prepackaged Software,Zimbabwe
5378468873260949,mastercard,Rupiah,IDR,Semiconductors,Indonesia
5602252725615957,china-unionpay,Rand,ZAR,Transportation Services,South Africa
560221220762253136,china-unionpay,Dollar,USD,Real Estate Investment Trusts,United States
6759099083917486,switch,Yuan Renminbi,CNY,Telecommunications Equipment,China
3542987511624444,jcb,Yuan Renminbi,CNY,Oil Refining/Marketing,China
5602217928425850,bankcard,Euro,EUR,Restaurants,France
4903545909114617,switch,Yuan Renminbi,CNY,Oil & Gas Production,China
201572590208166,diners-club-enroute,Peso,CLP,Industrial Specialties,Chile
676793268741237888,solo,Euro,EUR,n/a,Ireland
201856230391213,diners-club-enroute,Peso,MXN,Life Insurance,Mexico
3541939033597906,jcb,Hryvnia,UAH,Engineering & Construction,Ukraine
3585168200957084,jcb,Peso,PHP,Finance: Consumer Services,Philippines
6304997856940737562,maestro,Yuan Renminbi,CNY,Restaurants,China
3583907203564096,jcb,Rupiah,IDR,Real Estate Investment Trusts,Indonesia
5130604037792224,mastercard,Euro,EUR,Investment Bankers/Brokers/Service,Greece
201744241705938,diners-club-enroute,Euro,EUR,Telecommunications Equipment,Latvia
4508478726716621,visa-electron,Euro,EUR,Major Banks,France
36873402068652,diners-club-international,Shekel,ILS,Integrated oil Companies,Israel
3585154821769926,jcb,Zloty,PLN,Major Banks,Poland
5599055817878655,diners-club-us-ca,Krona,SEK,Oilfield Services/Equipment,Sweden
6763259051955447,maestro,Euro,EUR,Home Furnishings,France
6762581843354708652,maestro,Yuan Renminbi,CNY,n/a,China
6763592670782076013,maestro,Dollar,USD,EDP Services,United States
30062858129939,diners-club-carte-blanche,Euro,EUR,Electric Utilities: Central,Cyprus
4913844512226019,visa-electron,Zloty,PLN,Major Chemicals,Poland
3531445611065516,jcb,Rupiah,IDR,Marine Transportation,Indonesia
5483844326094246,mastercard,Hryvnia,UAH,Hospital/Nursing Management,Ukraine
4844533442587780,visa-electron,Zloty,PLN,Services-Misc. Amusement & Recreation,Poland
3577685582217043,jcb,Euro,EUR,Major Pharmaceuticals,Portugal
201702930432719,diners-club-enroute,Ringgit,MYR,Miscellaneous,Malaysia
374288818441189,americanexpress,Euro,EUR,Real Estate Investment Trusts,Germany
5602245521105736,china-unionpay,Dram,AMD,Building Products,Armenia
67714315235896683,laser,Euro,EUR,Electronic Components,Netherlands
3579451716210190,jcb,Rupiah,IDR,Major Pharmaceuticals,Indonesia
3552095264343811,jcb,Peso,PHP,Office Equipment/Supplies/Services,Philippines
6759038358684943197,switch,Zloty,PLN,Department/Specialty Retail Stores,Poland
6391456184495016,instapayment,Euro,EUR,Semiconductors,Ireland
3528204084873079,jcb,Peso,PHP,Restaurants,Philippines
6709224564343828609,laser,Naira,NGN,Real Estate Investment Trusts,Nigeria
30543761115008,diners-club-carte-blanche,Yuan Renminbi,CNY,Services-Misc. Amusement & Recreation,China
3589921362463911,jcb,Krone,NOK,Packaged Foods,Norway
3578143889287698,jcb,Dollar,USD,Semiconductors,United States
201922244536100,diners-club-enroute,Real,BRL,Oil & Gas Production,Brazil
503822235025874372,maestro,Yen,JPY,n/a,Japan
6304169341777780,laser,Euro,EUR,Real Estate Investment Trusts,Finland
4941554475658,visa,Rupiah,IDR,Major Banks,Indonesia
3563448115163416,jcb,Koruna,CZK,n/a,Czech Republic
3529671154137602,jcb,Peso,COP,Property-Casualty Insurers,Colombia
3584386394742598,jcb,Denar,MKD,Computer peripheral equipment,Macedonia
3579523249659844,jcb,Yuan Renminbi,CNY,Computer Software: Prepackaged Software,China
374288639166726,americanexpress,Koruna,CZK,Industrial Machinery/Components,Czech Republic
630486989520816589,laser,Euro,EUR,Radio And Television Broadcasting And Communications Equipment,France
5602214061761075508,china-unionpay,Ruble,RUB,n/a,Russia
5602251955258504,bankcard,Yuan Renminbi,CNY,Major Pharmaceuticals,China
6381962870960108,instapayment,Yuan Renminbi,CNY,EDP Services,China
6759599646679365652,switch,Rupiah,IDR,Semiconductors,Indonesia
5157865711851663,mastercard,Peso,PHP,Oil & Gas Production,Philippines
3566874210224430,jcb,Peso,CUP,Automotive Aftermarket,Cuba
5100136344691621,mastercard,Euro,EUR,n/a,France
3562045724413801,jcb,Tenge,KZT,Electrical Products,Kazakhstan
3580442357946876,jcb,Yuan Renminbi,CNY,Mining & Quarrying of Nonmetallic Minerals (No Fuels),China
502066437584900518,maestro,Yuan Renminbi,CNY,EDP Services,China
3540855694626647,jcb,Krona,SEK,Major Banks,Sweden
5592463887276122,mastercard,Hryvnia,UAH,n/a,Ukraine
374283056028962,americanexpress,Yen,JPY,Major Pharmaceuticals,Japan
3582745446793721,jcb,Yen,JPY,Integrated oil Companies,Japan
36419198558843,diners-club-international,Yuan Renminbi,CNY,Investment Managers,China
3569066907608879,jcb,Euro,EUR,Oil & Gas Production,Finland
374283715009163,americanexpress,Dollar,CAD,Major Pharmaceuticals,Canada
5406392822358990,mastercard,Tugrik,MNT,n/a,Mongolia
503854158949343434,maestro,Yuan Renminbi,CNY,Telecommunications Equipment,China
6334131264367159,solo,Rupiah,IDR,Real Estate Investment Trusts,Indonesia
3585174275047371,jcb,Som,UZS,Computer Manufacturing,Uzbekistan
5100136954927695,mastercard,Rupiah,IDR,n/a,Indonesia
5100170929306719,mastercard,Yuan Renminbi,CNY,Hospital/Nursing Management,China
3541416708464480,jcb,Peso,PHP,Computer Software: Prepackaged Software,Philippines
5602248069634604,china-unionpay,Ruble,RUB,n/a,Russia
491101495779654780,switch,Peso,PHP,Industrial Machinery/Components,Philippines
3536114927860664,jcb,Yuan Renminbi,CNY,Semiconductors,China
201608074198430,diners-club-enroute,Peso,MXN,Business Services,Mexico
201527654545994,diners-club-enroute,Euro,EUR,Professional Services,Portugal
3572712356431629,jcb,Rand,ZAR,Industrial Machinery/Components,South Africa
3546149208587667,jcb,Real,BRL,Television Services,Brazil
3554760076458523,jcb,Peso,CUP,Computer Software: Prepackaged Software,Cuba
30460951512573,diners-club-carte-blanche,Yuan Renminbi,CNY,Industrial Specialties,China
3531556129253376,jcb,Krone,DKK,Hotels/Resorts,Faroe Islands
201997060956210,diners-club-enroute,Rupiah,IDR,Telecommunications Equipment,Indonesia
3529935664693200,jcb,Tenge,KZT,Semiconductors,Kazakhstan
3557438186851930,jcb,Yuan Renminbi,CNY,Real Estate Investment Trusts,China
3580727810790709,jcb,Sol,PEN,Oil & Gas Production,Peru
6304640957097572,maestro,Yuan Renminbi,CNY,Major Pharmaceuticals,China
3573653349328770,jcb,Dollar,USD,Professional Services,United States
3585046189609605,jcb,Pound,SYP,Major Pharmaceuticals,Syria
633346004262904801,switch,Rupiah,IDR,n/a,Indonesia
4017954864393,visa,Dollar,CAD,Major Banks,Canada
5499848615685269,diners-club-us-ca,Rand,ZAR,Other Consumer Services,South Africa
3535865034996581,jcb,Rupiah,IDR,n/a,Indonesia
5413881539981178,diners-club-us-ca,Peso,COP,Restaurants,Colombia
340100811193579,americanexpress,Guarani,PYG,n/a,Paraguay
493641487009002115,switch,Euro,EUR,Auto Parts:O.E.M.,France
560221599050187290,china-unionpay,Lek,ALL,Automotive Aftermarket,Albania
374283418313904,americanexpress,Sol,PEN,Construction/Ag Equipment/Trucks,Peru
0604552015960116514,maestro,Peso,PHP,Business Services,Philippines
490373585851965097,switch,Yuan Renminbi,CNY,n/a,China
3558246854715678,jcb,Dollar,USD,n/a,United States
3545688414337319,jcb,Sol,PEN,Textiles,Peru
3570010473471566,jcb,Rial,IRR,Commercial Banks,Iran
5291035147899069,mastercard,Rupiah,IDR,Savings Institutions,Indonesia
4405986673103738,visa-electron,Sol,PEN,Oilfield Services/Equipment,Peru
5365218113843243,mastercard,Hryvnia,UAH,Major Banks,Ukraine
3585984808348884,jcb,Franc,XAF,Major Pharmaceuticals,Cameroon
3582460367860554,jcb,Real,BRL,Industrial Machinery/Components,Brazil
3540986617355830,jcb,Peso,ARS,Other Consumer Services,Argentina
56022481533369284,china-unionpay,Pound,GBP,Telecommunications Equipment,United Kingdom
4982015660850,visa,Ruble,RUB,Business Services,Russia
3587299092093239,jcb,Yen,JPY,Containers/Packaging,Japan
3576976480704237,jcb,Ruble,RUB,Computer Software: Prepackaged Software,Russia
4451162682996867,visa,Euro,EUR,n/a,Portugal
5526238635567506,mastercard,Franc,CDF,Plastic Products,Democratic Republic of the Congo
3538563091278699,jcb,Dollar,NZD,Telecommunications Equipment,New Zealand
4026921170837289,visa-electron,Hryvnia,UAH,Other Pharmaceuticals,Ukraine
3545786241109347,jcb,Zloty,PLN,Air Freight/Delivery Services,Poland
3586778640011547,jcb,Real,BRL,Property-Casualty Insurers,Brazil
677134027381438297,laser,Euro,EUR,Containers/Packaging,Belgium
3575505694458321,jcb,Yuan Renminbi,CNY,n/a,China
3583528918110791,jcb,Baht,THB,Medical/Dental Instruments,Thailand
6706286085153566,laser,Dinar,IQD,Consumer Electronics/Appliances,Iraq
5602237390297439,china-unionpay,Peso,MXN,n/a,Mexico
3588226645396750,jcb,Naira,NGN,Major Banks,Nigeria
374288146872097,americanexpress,Peso,COP,n/a,Colombia
67632371919789479,maestro,Ruble,RUB,Newspapers/Magazines,Russia
67610317640628508,maestro,Manat,AZN,Medical/Dental Instruments,Azerbaijan
0604080931679907251,maestro,Yuan Renminbi,CNY,Containers/Packaging,China
3560645322419381,jcb,Rupee,LKR,Major Banks,Sri Lanka
5602232086317740,bankcard,Baht,THB,n/a,Thailand
3537424076702180,jcb,Yuan Renminbi,CNY,Radio And Television Broadcasting And Communications Equipment,China
5602257964401852,bankcard,Euro,EUR,"Computer Software: Programming, Data Processing",Portugal
